person_id,station_id,personnum,personname,workshop,phone,jndj,gz,deptid,deptname
64,64,PERS-0064,Zhao Min,Pressure Test Section,13800000064,MES_D,MES_SERVICE,Rear End Cap aviation manufacturing business record used for actuator quality traceability.,Rear End Cap 064
65,65,PERS-0065,Chen Gong,Final Inspection Section,13800000065,MES_A,MES_MAKE,Seal Ring Assembly aviation manufacturing business record used for actuator quality traceability.,Seal Ring Assembly 065
66,66,PERS-0066,Liu Xiaofeng,Repair Processing Section,13800000066,MES_B,MES_BUY,Trunnion Bushing aviation manufacturing business record used for actuator quality traceability.,Trunnion Bushing 066
67,67,PERS-0067,Zhou Qian,Machining Section 1,13800000067,MES_C,MES_ASSEMBLY,Spherical Bearing aviation manufacturing business record used for actuator quality traceability.,Spherical Bearing 067
68,68,PERS-0068,Huang Zhiqiang,Precision Grinding Section,13800000068,MES_D,MES_SERVICE,Throttle Connector aviation manufacturing business record used for actuator quality traceability.,Throttle Connector 068
69,69,PERS-0069,Sun Wei,Hydraulic Assembly Section,13800000069,MES_A,MES_MAKE,Displacement Sensor Bracket aviation manufacturing business record used for actuator quality traceab,Displacement Sensor Bracket 069
70,70,PERS-0070,Ma Rui,Pressure Test Section,13800000070,MES_B,MES_BUY,Locking Nut aviation manufacturing business record used for actuator quality traceability.,Locking Nut 070
71,71,PERS-0071,Zhang Jiancheng,Final Inspection Section,13800000071,MES_C,MES_ASSEMBLY,Piston Rod Assembly aviation manufacturing business record used for actuator quality traceability.,Piston Rod Assembly 071
72,72,PERS-0072,Li Hang,Repair Processing Section,13800000072,MES_D,MES_SERVICE,Cylinder Barrel Assembly aviation manufacturing business record used for actuator quality traceabili,Cylinder Barrel Assembly 072
73,73,PERS-0073,Wang Lijun,Machining Section 1,13800000073,MES_A,MES_MAKE,Front End Cap aviation manufacturing business record used for actuator quality traceability.,Front End Cap 073
74,74,PERS-0074,Zhao Min,Precision Grinding Section,13800000074,MES_B,MES_BUY,Rear End Cap aviation manufacturing business record used for actuator quality traceability.,Rear End Cap 074
75,75,PERS-0075,Chen Gong,Hydraulic Assembly Section,13800000075,MES_C,MES_ASSEMBLY,Seal Ring Assembly aviation manufacturing business record used for actuator quality traceability.,Seal Ring Assembly 075
76,76,PERS-0076,Liu Xiaofeng,Pressure Test Section,13800000076,MES_D,MES_SERVICE,Trunnion Bushing aviation manufacturing business record used for actuator quality traceability.,Trunnion Bushing 076
77,77,PERS-0077,Zhou Qian,Final Inspection Section,13800000077,MES_A,MES_MAKE,Spherical Bearing aviation manufacturing business record used for actuator quality traceability.,Spherical Bearing 077
78,78,PERS-0078,Huang Zhiqiang,Repair Processing Section,13800000078,MES_B,MES_BUY,Throttle Connector aviation manufacturing business record used for actuator quality traceability.,Throttle Connector 078
79,79,PERS-0079,Sun Wei,Machining Section 1,13800000079,MES_C,MES_ASSEMBLY,Displacement Sensor Bracket aviation manufacturing business record used for actuator quality traceab,Displacement Sensor Bracket 079
80,80,PERS-0080,Ma Rui,Precision Grinding Section,13800000080,MES_D,MES_SERVICE,Locking Nut aviation manufacturing business record used for actuator quality traceability.,Locking Nut 080
81,81,PERS-0081,Zhang Jiancheng,Hydraulic Assembly Section,13800000081,MES_A,MES_MAKE,Piston Rod Assembly aviation manufacturing business record used for actuator quality traceability.,Piston Rod Assembly 081
82,82,PERS-0082,Li Hang,Pressure Test Section,13800000082,MES_B,MES_BUY,Cylinder Barrel Assembly aviation manufacturing business record used for actuator quality traceabili,Cylinder Barrel Assembly 082
83,83,PERS-0083,Wang Lijun,Final Inspection Section,13800000083,MES_C,MES_ASSEMBLY,Front End Cap aviation manufacturing business record used for actuator quality traceability.,Front End Cap 083
84,84,PERS-0084,Zhao Min,Repair Processing Section,13800000084,MES_D,MES_SERVICE,Rear End Cap aviation manufacturing business record used for actuator quality traceability.,Rear End Cap 084
85,85,PERS-0085,Chen Gong,Machining Section 1,13800000085,MES_A,MES_MAKE,Seal Ring Assembly aviation manufacturing business record used for actuator quality traceability.,Seal Ring Assembly 085
86,86,PERS-0086,Liu Xiaofeng,Precision Grinding Section,13800000086,MES_B,MES_BUY,Trunnion Bushing aviation manufacturing business record used for actuator quality traceability.,Trunnion Bushing 086
87,87,PERS-0087,Zhou Qian,Hydraulic Assembly Section,13800000087,MES_C,MES_ASSEMBLY,Spherical Bearing aviation manufacturing business record used for actuator quality traceability.,Spherical Bearing 087
88,88,PERS-0088,Huang Zhiqiang,Pressure Test Section,13800000088,MES_D,MES_SERVICE,Throttle Connector aviation manufacturing business record used for actuator quality traceability.,Throttle Connector 088
89,89,PERS-0089,Sun Wei,Final Inspection Section,13800000089,MES_A,MES_MAKE,Displacement Sensor Bracket aviation manufacturing business record used for actuator quality traceab,Displacement Sensor Bracket 089
90,90,PERS-0090,Ma Rui,Repair Processing Section,13800000090,MES_B,MES_BUY,Locking Nut aviation manufacturing business record used for actuator quality traceability.,Locking Nut 090
91,91,PERS-0091,Zhang Jiancheng,Machining Section 1,13800000091,MES_C,MES_ASSEMBLY,Piston Rod Assembly aviation manufacturing business record used for actuator quality traceability.,Piston Rod Assembly 091
92,92,PERS-0092,Li Hang,Precision Grinding Section,13800000092,MES_D,MES_SERVICE,Cylinder Barrel Assembly aviation manufacturing business record used for actuator quality traceabili,Cylinder Barrel Assembly 092
93,93,PERS-0093,Wang Lijun,Hydraulic Assembly Section,13800000093,MES_A,MES_MAKE,Front End Cap aviation manufacturing business record used for actuator quality traceability.,Front End Cap 093
94,94,PERS-0094,Zhao Min,Pressure Test Section,13800000094,MES_B,MES_BUY,Rear End Cap aviation manufacturing business record used for actuator quality traceability.,Rear End Cap 094
95,95,PERS-0095,Chen Gong,Final Inspection Section,13800000095,MES_C,MES_ASSEMBLY,Seal Ring Assembly aviation manufacturing business record used for actuator quality traceability.,Seal Ring Assembly 095
96,96,PERS-0096,Liu Xiaofeng,Repair Processing Section,13800000096,MES_D,MES_SERVICE,Trunnion Bushing aviation manufacturing business record used for actuator quality traceability.,Trunnion Bushing 096
97,97,PERS-0097,Zhou Qian,Machining Section 1,13800000097,MES_A,MES_MAKE,Spherical Bearing aviation manufacturing business record used for actuator quality traceability.,Spherical Bearing 097
98,98,PERS-0098,Huang Zhiqiang,Precision Grinding Section,13800000098,MES_B,MES_BUY,Throttle Connector aviation manufacturing business record used for actuator quality traceability.,Throttle Connector 098
99,99,PERS-0099,Sun Wei,Hydraulic Assembly Section,13800000099,MES_C,MES_ASSEMBLY,Displacement Sensor Bracket aviation manufacturing business record used for actuator quality traceab,Displacement Sensor Bracket 099
100,100,PERS-0100,Ma Rui,Pressure Test Section,13800000100,MES_D,MES_SERVICE,Locking Nut aviation manufacturing business record used for actuator quality traceability.,Locking Nut 100
101,101,PERS-0101,Zhang Jiancheng,Final Inspection Section,13800000101,MES_A,MES_MAKE,Piston Rod Assembly aviation manufacturing business record used for actuator quality traceability.,Piston Rod Assembly 101
102,102,PERS-0102,Li Hang,Repair Processing Section,13800000102,MES_B,MES_BUY,Cylinder Barrel Assembly aviation manufacturing business record used for actuator quality traceabili,Cylinder Barrel Assembly 102
103,103,PERS-0103,Wang Lijun,Machining Section 1,13800000103,MES_C,MES_ASSEMBLY,Front End Cap aviation manufacturing business record used for actuator quality traceability.,Front End Cap 103
104,104,PERS-0104,Zhao Min,Precision Grinding Section,13800000104,MES_D,MES_SERVICE,Rear End Cap aviation manufacturing business record used for actuator quality traceability.,Rear End Cap 104
105,105,PERS-0105,Chen Gong,Hydraulic Assembly Section,13800000105,MES_A,MES_MAKE,Seal Ring Assembly aviation manufacturing business record used for actuator quality traceability.,Seal Ring Assembly 105
106,106,PERS-0106,Liu Xiaofeng,Pressure Test Section,13800000106,MES_B,MES_BUY,Trunnion Bushing aviation manufacturing business record used for actuator quality traceability.,Trunnion Bushing 106
107,107,PERS-0107,Zhou Qian,Final Inspection Section,13800000107,MES_C,MES_ASSEMBLY,Spherical Bearing aviation manufacturing business record used for actuator quality traceability.,Spherical Bearing 107
108,108,PERS-0108,Huang Zhiqiang,Repair Processing Section,13800000108,MES_D,MES_SERVICE,Throttle Connector aviation manufacturing business record used for actuator quality traceability.,Throttle Connector 108
109,109,PERS-0109,Sun Wei,Machining Section 1,13800000109,MES_A,MES_MAKE,Displacement Sensor Bracket aviation manufacturing business record used for actuator quality traceab,Displacement Sensor Bracket 109
110,110,PERS-0110,Ma Rui,Precision Grinding Section,13800000110,MES_B,MES_BUY,Locking Nut aviation manufacturing business record used for actuator quality traceability.,Locking Nut 110
111,111,PERS-0111,Zhang Jiancheng,Hydraulic Assembly Section,13800000111,MES_C,MES_ASSEMBLY,Piston Rod Assembly aviation manufacturing business record used for actuator quality traceability.,Piston Rod Assembly 111
112,112,PERS-0112,Li Hang,Pressure Test Section,13800000112,MES_D,MES_SERVICE,Cylinder Barrel Assembly aviation manufacturing business record used for actuator quality traceabili,Cylinder Barrel Assembly 112
113,113,PERS-0113,Wang Lijun,Final Inspection Section,13800000113,MES_A,MES_MAKE,Front End Cap aviation manufacturing business record used for actuator quality traceability.,Front End Cap 113
114,114,PERS-0114,Zhao Min,Repair Processing Section,13800000114,MES_B,MES_BUY,Rear End Cap aviation manufacturing business record used for actuator quality traceability.,Rear End Cap 114
115,115,PERS-0115,Chen Gong,Machining Section 1,13800000115,MES_C,MES_ASSEMBLY,Seal Ring Assembly aviation manufacturing business record used for actuator quality traceability.,Seal Ring Assembly 115
116,116,PERS-0116,Liu Xiaofeng,Precision Grinding Section,13800000116,MES_D,MES_SERVICE,Trunnion Bushing aviation manufacturing business record used for actuator quality traceability.,Trunnion Bushing 116
117,117,PERS-0117,Zhou Qian,Hydraulic Assembly Section,13800000117,MES_A,MES_MAKE,Spherical Bearing aviation manufacturing business record used for actuator quality traceability.,Spherical Bearing 117
118,118,PERS-0118,Huang Zhiqiang,Pressure Test Section,13800000118,MES_B,MES_BUY,Throttle Connector aviation manufacturing business record used for actuator quality traceability.,Throttle Connector 118
119,119,PERS-0119,Sun Wei,Final Inspection Section,13800000119,MES_C,MES_ASSEMBLY,Displacement Sensor Bracket aviation manufacturing business record used for actuator quality traceab,Displacement Sensor Bracket 119
120,120,PERS-0120,Ma Rui,Repair Processing Section,13800000120,MES_D,MES_SERVICE,Locking Nut aviation manufacturing business record used for actuator quality traceability.,Locking Nut 120
121,121,PERS-0121,Zhang Jiancheng,Machining Section 1,13800000121,MES_A,MES_MAKE,Piston Rod Assembly aviation manufacturing business record used for actuator quality traceability.,Piston Rod Assembly 121
122,122,PERS-0122,Li Hang,Precision Grinding Section,13800000122,MES_B,MES_BUY,Cylinder Barrel Assembly aviation manufacturing business record used for actuator quality traceabili,Cylinder Barrel Assembly 122
123,123,PERS-0123,Wang Lijun,Hydraulic Assembly Section,13800000123,MES_C,MES_ASSEMBLY,Front End Cap aviation manufacturing business record used for actuator quality traceability.,Front End Cap 123
124,124,PERS-0124,Zhao Min,Pressure Test Section,13800000124,MES_D,MES_SERVICE,Rear End Cap aviation manufacturing business record used for actuator quality traceability.,Rear End Cap 124
125,125,PERS-0125,Chen Gong,Final Inspection Section,13800000125,MES_A,MES_MAKE,Seal Ring Assembly aviation manufacturing business record used for actuator quality traceability.,Seal Ring Assembly 125
126,126,PERS-0126,Liu Xiaofeng,Repair Processing Section,13800000126,MES_B,MES_BUY,Trunnion Bushing aviation manufacturing business record used for actuator quality traceability.,Trunnion Bushing 126
127,127,PERS-0127,Zhou Qian,Machining Section 1,13800000127,MES_C,MES_ASSEMBLY,Spherical Bearing aviation manufacturing business record used for actuator quality traceability.,Spherical Bearing 127
128,128,PERS-0128,Huang Zhiqiang,Precision Grinding Section,13800000128,MES_D,MES_SERVICE,Throttle Connector aviation manufacturing business record used for actuator quality traceability.,Throttle Connector 128
129,129,PERS-0129,Sun Wei,Hydraulic Assembly Section,13800000129,MES_A,MES_MAKE,Displacement Sensor Bracket aviation manufacturing business record used for actuator quality traceab,Displacement Sensor Bracket 129
130,130,PERS-0130,Ma Rui,Pressure Test Section,13800000130,MES_B,MES_BUY,Locking Nut aviation manufacturing business record used for actuator quality traceability.,Locking Nut 130
131,131,PERS-0131,Zhang Jiancheng,Final Inspection Section,13800000131,MES_C,MES_ASSEMBLY,Piston Rod Assembly aviation manufacturing business record used for actuator quality traceability.,Piston Rod Assembly 131
132,132,PERS-0132,Li Hang,Repair Processing Section,13800000132,MES_D,MES_SERVICE,Cylinder Barrel Assembly aviation manufacturing business record used for actuator quality traceabili,Cylinder Barrel Assembly 132
133,133,PERS-0133,Wang Lijun,Machining Section 1,13800000133,MES_A,MES_MAKE,Front End Cap aviation manufacturing business record used for actuator quality traceability.,Front End Cap 133
134,134,PERS-0134,Zhao Min,Precision Grinding Section,13800000134,MES_B,MES_BUY,Rear End Cap aviation manufacturing business record used for actuator quality traceability.,Rear End Cap 134
135,135,PERS-0135,Chen Gong,Hydraulic Assembly Section,13800000135,MES_C,MES_ASSEMBLY,Seal Ring Assembly aviation manufacturing business record used for actuator quality traceability.,Seal Ring Assembly 135
136,136,PERS-0136,Liu Xiaofeng,Pressure Test Section,13800000136,MES_D,MES_SERVICE,Trunnion Bushing aviation manufacturing business record used for actuator quality traceability.,Trunnion Bushing 136
137,137,PERS-0137,Zhou Qian,Final Inspection Section,13800000137,MES_A,MES_MAKE,Spherical Bearing aviation manufacturing business record used for actuator quality traceability.,Spherical Bearing 137
138,138,PERS-0138,Huang Zhiqiang,Repair Processing Section,13800000138,MES_B,MES_BUY,Throttle Connector aviation manufacturing business record used for actuator quality traceability.,Throttle Connector 138
139,139,PERS-0139,Sun Wei,Machining Section 1,13800000139,MES_C,MES_ASSEMBLY,Displacement Sensor Bracket aviation manufacturing business record used for actuator quality traceab,Displacement Sensor Bracket 139
140,140,PERS-0140,Ma Rui,Precision Grinding Section,13800000140,MES_D,MES_SERVICE,Locking Nut aviation manufacturing business record used for actuator quality traceability.,Locking Nut 140
141,141,PERS-0141,Zhang Jiancheng,Hydraulic Assembly Section,13800000141,MES_A,MES_MAKE,Piston Rod Assembly aviation manufacturing business record used for actuator quality traceability.,Piston Rod Assembly 141
142,142,PERS-0142,Li Hang,Pressure Test Section,13800000142,MES_B,MES_BUY,Cylinder Barrel Assembly aviation manufacturing business record used for actuator quality traceabili,Cylinder Barrel Assembly 142
143,143,PERS-0143,Wang Lijun,Final Inspection Section,13800000143,MES_C,MES_ASSEMBLY,Front End Cap aviation manufacturing business record used for actuator quality traceability.,Front End Cap 143
144,144,PERS-0144,Zhao Min,Repair Processing Section,13800000144,MES_D,MES_SERVICE,Rear End Cap aviation manufacturing business record used for actuator quality traceability.,Rear End Cap 144
145,145,PERS-0145,Chen Gong,Machining Section 1,13800000145,MES_A,MES_MAKE,Seal Ring Assembly aviation manufacturing business record used for actuator quality traceability.,Seal Ring Assembly 145
146,146,PERS-0146,Liu Xiaofeng,Precision Grinding Section,13800000146,MES_B,MES_BUY,Trunnion Bushing aviation manufacturing business record used for actuator quality traceability.,Trunnion Bushing 146
147,147,PERS-0147,Zhou Qian,Hydraulic Assembly Section,13800000147,MES_C,MES_ASSEMBLY,Spherical Bearing aviation manufacturing business record used for actuator quality traceability.,Spherical Bearing 147
148,148,PERS-0148,Huang Zhiqiang,Pressure Test Section,13800000148,MES_D,MES_SERVICE,Throttle Connector aviation manufacturing business record used for actuator quality traceability.,Throttle Connector 148
149,149,PERS-0149,Sun Wei,Final Inspection Section,13800000149,MES_A,MES_MAKE,Displacement Sensor Bracket aviation manufacturing business record used for actuator quality traceab,Displacement Sensor Bracket 149
150,150,PERS-0150,Ma Rui,Repair Processing Section,13800000150,MES_B,MES_BUY,Locking Nut aviation manufacturing business record used for actuator quality traceability.,Locking Nut 150
151,151,PERS-0151,Zhang Jiancheng,Machining Section 1,13800000151,MES_C,MES_ASSEMBLY,Piston Rod Assembly aviation manufacturing business record used for actuator quality traceability.,Piston Rod Assembly 151
152,152,PERS-0152,Li Hang,Precision Grinding Section,13800000152,MES_D,MES_SERVICE,Cylinder Barrel Assembly aviation manufacturing business record used for actuator quality traceabili,Cylinder Barrel Assembly 152
153,153,PERS-0153,Wang Lijun,Hydraulic Assembly Section,13800000153,MES_A,MES_MAKE,Front End Cap aviation manufacturing business record used for actuator quality traceability.,Front End Cap 153
